"Beta","wtp_lm_16$coefficients","on","off"
"(Intercept)",1.77242480815371,4.88510632785361,-0.830079535646263
"sos",0.168064095996835,0.183012434579042,-0.154700347375609
"info",-0.0462176998261861,-0.0451659276488428,0.0473023836881181
"own1",0.143934877576729,0.154808902122007,-0.134055861396236
"own2",0.130964806620955,0.139927662699723,-0.122751352808062
"own3",0.0100709689443458,0.0101218518219273,-0.0100204265492038
"fishtech",0.170882396212562,0.186351221420515,-0.157079301690592
"rank_oneiuu",-0.12560608939998,-0.118037807376188,0.133835450502735
"rank_onepollution",-0.186993802438831,-0.170551123070374,0.205619813124233
"rank_oneweather",-0.275091069389721,-0.240497047395032,0.316650575972309
"log(gdp_prop)",-0.00331273536076393,-0.00330725430707601,0.00331822853268249
"educationformal",0.260488472461702,0.297563756050284,-0.229324959689112
"educationhigher",0.401524285796303,0.494100398807318,-0.330700934958413
