"package","sos","info","own","rank_one","fishtech","education","int_15_wtp"
1,0,1,"2","corruption",1,"higher",6.61234691746459
2,1,1,"3","corruption",1,"higher",6.41731367944279
3,0,1,"1","corruption",1,"higher",6.3576203876961
4,1,0,"4","corruption",1,"higher",7.20589518396037
5,0,0,"4","corruption",1,"higher",5.93750497470889
6,0,0,"3","corruption",1,"higher",5.56296260334127
7,1,0,"1","corruption",1,"higher",8.04004973009753
8,0,1,"4","corruption",1,"higher",5.52346584155894
9,1,0,"3","corruption",1,"higher",6.83135281259275
10,0,0,"2","corruption",1,"higher",7.02638605061454
11,1,1,"4","corruption",1,"higher",6.79185605081041
12,1,1,"1","corruption",1,"higher",7.62601059694757
13,1,1,"2","corruption",1,"higher",7.88073712671606
14,1,0,"2","corruption",1,"higher",8.29477625986602
15,0,0,"1","corruption",1,"higher",6.77165952084605
16,0,1,"3","corruption",1,"higher",5.14892347019132
