question,column_header
Automatic,start
Automatic,end
0.i.,survey_type
0.ii.,survey_id
0.iii.,survey_version
0.iv.,interviewer
0.v.,interviewer_Org
1.,country
2.,community
3.,sex
4.,gear_handline
4.,gear_spear
4.,gear_traps
4.,gear_gill_net
4.,gear_mobile_net
4.,gear_stationary_line
4.,gear_other
4.x.,other_gear
5.,boat_status
6.i.,boat_length_m
6.ii.,boat_material
6.iii.,boat_motorized
6.iv.,boat_power
6.x.,comment
7.,tech_smartphone
7.,tech_maps
7.,tech_socialmedia
7.,tech_other
7.,tech_no_tech
7.x.,other_tech
8.,fishtech_vhf
8.,fishtech_fishfinder
8.,fishtech_survcam
8.,fishtech_catchapp
8.,fishtech_vesseltrack
8.,fishtech_gps
8.,fishtech_other
8.,fishtech_none
8.x.,other_fishtech
9.,text_vms
10.i.,positive_tracking_tech_one
10.ii.,positive_tracking_tech_two
11.i.,negative_tracking_tech_one
11.ii.,negative_tracking_tech_two
12.,choice
13.,package_nopackage
14.i.,wtp_1
14.ii.,wtp_2
14.iii.,wtp_3
14.iv.,wtp_4
15.i.,wtr_1
15.ii.,wtr_2
15.iii.,wtr_3
15.iv.,wtr_4
16.,tracking_negative
17.,tracking_positive
18.,design_a
18.,design_b
18.,design_c
18.,design_d
18.,design_e
18.,design_f
18.,design_g
18.,design_h
18.,design_i
19.,text_vms_adoption
20.i.,target_species_one
20.ii.,target_species_two
20.ii.,target_species_three
21.i.,fraction_personal
21.ii.,fraction_neighbor
21.iii.,fraction_local_trade
21.iv.,fraction_export
21.v.,fraction_other
21.x.,other_fraction
22.,fishing_organization
23.,fishing_org_type
23.x.,other_type
24.,fishing_org_role
24.x.,other_role
25.,fishing_org_members
26.,access_target_species
26.x.,other_access
27.,restriction_gear
27.,restriction_size
27.,restriction_season
27.,restriction_spacial
27.,restriction_quota
27.,restriction_other
27.,restriction_none
27.x.,other_restriction
28.,enforcement_community_members
28.,enforcement_village_leader
28.,enforcement_village_gov
28.,enforcement_provincial_gov
28.,enforcement_national_gov
28.,enforcement_none
28.,enforcement_other
28.x.,other_enforcement
29.,enforcement_interval
29.x.,other_interval
30.,punishment_severity
31.,mpa
32.i.,fishery_problem_one
32.ii.,fishery_problem_two
32.iii.,fishery_problem_three
33.i.,fishery_solution_one
33.ii.,fishery_solution_two
33.iii.,fishery_solution_three
34.i.,rank_one
34.ii.,rank_two
34.iii.,rank_three
34.iv.,rank_four
35.,catch_trends
36.a.,opinion_a
36.b.,opinion_b
36.c.,opinion_c
36.d.,opinion_d
36.e.,opinion_e
36.f.,opinion_f
36.g.,opinion_g
36.h.,opinion_h
36.i.,opinion_i
37.a.,trust_a
37.b.,trust_b
37.c.,trust_c
37.d.,trust_d
37.e.,trust_e
37.f.,trust_f
37.g.,trust_g
37.h.,trust_h
37.i.,trust_i
37.j.,trust_j
37.k.,trust_k
37.l.,trust_l
38.a.,satisfaction_a
38.b.,satisfaction_b
38.c.,satisfaction_c
39.,age
40.,years_fishing
41.,education
41.x.,other_education
42.,income
43.,income_fishing
44.,income_expenses
Photo ,photo
Last Comment,last_commends
